player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
3910184,Kushal G.v,597865,HotShots - SCL2020,3,3,8,8,8.00,2,114.29,7,RHB,0,1,0,0
4169288,Shahnawaz A,597866,Roaring Lions - SCL2020,2,1,7,7,-,1,175.00,4,RHB,0,1,0,0
4102045,Dinesh Babu,597859,Simeio Ninjas - SCL2020,3,2,7,5,7.00,1,116.67,6,RHB,1,0,0,0
4155113,Hemanth V N,597864,TNT - SCL2020,3,2,7,4,3.50,0,63.64,11,RHB,1,0,0,0
4106757,Kamesh Pinaka,597855,DareDevils - SCL2020,3,2,7,5,-,2,53.85,13,RHB,0,0,0,0
4179140,Varsha Hrishikesh ,597864,TNT - SCL2020,3,3,7,4,3.50,1,77.78,9,RHB,1,0,0,0
4116738,Rakshith Vasisht,597855,DareDevils - SCL2020,3,3,7,4,3.50,1,38.89,18,RHB,0,0,0,0
4162116,Mahammad Fayiz,597859,Simeio Ninjas - SCL2020,3,1,6,6,6.00,0,200.00,3,RHB,1,0,0,0
4183073,Amirthana Ramalingam,597866,Roaring Lions - SCL2020,3,3,6,5,3.00,1,46.15,13,RHB,1,0,0,0
4102523,Sumanth V,597865,HotShots - SCL2020,3,3,6,6,2.00,0,120.00,5,RHB,1,0,0,0
4118212,Nishanth S R,597867,Skarp Elva(Sharp Eleven) - SCL2020,2,1,5,5,5.00,0,83.33,6,RHB,1,0,0,0
4105864,Sashikanth Chowdary,597863,Simeio Spirits - SCL2020,3,2,5,5,5.00,1,38.46,13,RHB,0,0,0,0
4102133,Rayapati Pranaya Sree,597855,DareDevils - SCL2020,3,3,5,4,5.00,2,35.71,14,RHB,1,0,0,0
4105553,Sajid,597863,Simeio Spirits - SCL2020,3,1,4,4,4.00,0,30.77,13,RHB,0,0,0,0
4185978,Siva Rajesh,597866,Roaring Lions - SCL2020,2,2,4,4,2.00,0,133.33,3,RHB,1,0,0,0
4197374,Smirna Kushal,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,3,4,4,2.00,1,33.33,12,RHB,1,0,0,0
4584313,Gururaj Bhat,597866,Roaring Lions - SCL2020,1,1,3,3,3.00,0,37.50,8,RHB,0,0,0,0
4196653,Rehaman Shaik,597865,HotShots - SCL2020,1,1,3,3,-,1,42.86,7,RHB,0,0,0,0
